age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,523007,535656,542323,558500,551127,556884,560700,570791,562322,553218,537347,534047,512140,499940,482977,469956,455066,431007,414974,404956,400626,393920,382068,363388,357100,351584,346522,341651,336664,331806,326979,321952,317114,312028,306472,300931,295011,288983,282628,276545,270410,264103,257422,250626,243692,236743,229661,222712,215834,208885,201802,194834,187848,180907,173989,167190,160530,154077,147756,141703,135756,129984,124358,118896,113646,108590,103713,98924,94251,89720,85373,81110,76927,72822,68797,64854,60996,57224,53541,49949,46449,43046,39740,36534,33427,30422,27515,24708,21998,19387,16873,14453,12127,9892,7746,5686,3710,1815,0
1,529233,526577,538020,545596,559067,552870,560028,563021,569963,561694,551720,539163,533916,511448,499707,482975,470412,455746,436785,423269,407634,404252,396272,383526,364846,358558,353042,347980,343109,338122,333264,328437,323410,318572,313486,307930,302389,296469,290441,284086,278003,271868,265561,258880,252084,245150,238201,231119,224170,217292,210343,203260,196292,189306,182365,175447,168648,161988,155535,149214,143161,137214,131442,125816,120354,115104,110048,105171,100382,95709,91178,86831,82568,78385,74280,70255,66312,62454,58682,54999,51407,47907,44504,41198,37992,34885,31880,28973,26166,23456,20845,18331,15911,13585,11350,9204,7144,5168,3273
2,528131,533126,531043,540860,548487,560347,556146,562640,564317,569064,560943,554476,540449,532895,510117,499100,482810,470813,457314,443571,425183,411247,406841,397811,385065,366385,360097,354581,349519,344648,339661,334803,329976,324949,320111,315025,309469,303928,298008,291980,285625,279542,273407,267100,260419,253623,246689,239740,232658,225709,218831,211882,204799,197831,190845,183904,176986,170187,163527,157074,150753,144700,138753,132981,127355,121893,116643,111587,106710,101921,97248,92717,88370,84107,79924,75819,71794,67851,63993,60221,56538,52946,49446,46043,42737,39531,36424,33419,30512,27705,24995,22384,19870,17450,15124,12889,10743,8683,6707
3,518790,530847,537507,535545,543768,550808,563000,559193,564536,565219,568135,563518,556034,539900,531804,508569,498644,482946,471696,464239,444638,428451,413942,408454,399424,386678,367998,361710,356194,351132,346261,341274,336416,331589,326562,321724,316638,311082,305541,299621,293593,287238,281155,275020,268713,262032,255236,248302,241353,234271,227322,220444,213495,206412,199444,192458,185517,178599,171800,165140,158687,152366,146313,140366,134594,128968,123506,118256,113200,108323,103534,98861,94330,89983,85720,81537,77432,73407,69464,65606,61834,58151,54559,51059,47656,44350,41144,38037,35032,32125,29318,26608,23997,21483,19063,16737,14502,12356,10296
4,515957,522484,534064,542329,540131,545782,554754,565127,560899,565563,565624,570533,565065,555647,539174,530684,507352,498240,483769,480475,464753,447374,431424,415650,410162,401132,388386,369706,363418,357902,352840,347969,342982,338124,333297,328270,323432,318346,312790,307249,301329,295301,288946,282863,276728,270421,263740,256944,250010,243061,235979,229030,222152,215203,208120,201152,194166,187225,180307,173508,166848,160395,154074,148021,142074,136302,130676,125214,119964,114908,110031,105242,100569,96038,91691,87428,83245,79140,75115,71172,67314,63542,59859,56267,52767,49364,46058,42852,39745,36740,33833,31026,28316,25705,23191,20771,18445,16210,14064
5,521883,519874,526759,537687,547286,543899,549926,557963,566411,562064,566438,568059,571660,564915,555014,538315,529716,507118,499144,493318,478684,467140,450186,433340,417566,412078,403048,390302,371622,365334,359818,354756,349885,344898,340040,335213,330186,325348,320262,314706,309165,303245,297217,290862,284779,278644,272337,265656,258860,251926,244977,237895,230946,224068,217119,210036,203068,196082,189141,182223,175424,168764,162311,155990,149937,143990,138218,132592,127130,121880,116824,111947,107158,102485,97954,93607,89344,85161,81056,77031,73088,69230,65458,61775,58183,54683,51280,47974,44768,41661,38656,35749,32942,30232,27621,25107,22687,20361,18126
6,521774,525434,524440,531761,541502,551380,549632,553286,560048,566952,563169,568569,569197,571217,564416,554223,537576,529609,507291,501031,490819,481317,469845,452214,435368,419594,414106,405076,392330,373650,367362,361846,356784,351913,346926,342068,337241,332214,327376,322290,316734,311193,305273,299245,292890,286807,280672,274365,267684,260888,253954,247005,239923,232974,226096,219147,212064,205096,198110,191169,184251,177452,170792,164339,158018,151965,146018,140246,134620,129158,123908,118852,113975,109186,104513,99982,95635,91372,87189,83084,79059,75116,71258,67486,63803,60211,56711,53308,50002,46796,43689,40684,37777,34970,32260,29649,27135,24715,22389
7,524929,525094,529430,529267,536730,544564,557571,554779,555487,561735,567808,564994,569486,568782,570307,563484,553502,537809,529473,510437,505591,493151,483931,471931,454300,437454,421680,416192,407162,394416,375736,369448,363932,358870,353999,349012,344154,339327,334300,329462,324376,318820,313279,307359,301331,294976,288893,282758,276451,269770,262974,256040,249091,242009,235060,228182,221233,214150,207182,200196,193255,186337,179538,172878,166425,160104,154051,148104,142332,136706,131244,125994,120938,116061,111272,106599,102068,97721,93458,89275,85170,81145,77202,73344,69572,65889,62297,58797,55394,52088,48882,45775,42770,39863,37056,34346,31735,29221,26801
8,539637,528714,528612,533557,534646,540875,549836,562743,558705,557192,563165,569721,565785,569129,568376,569449,562718,553691,537902,532059,512964,507730,495763,486161,474161,456530,439684,423910,418422,409392,396646,377966,371678,366162,361100,356229,351242,346384,341557,336530,331692,326606,321050,315509,309589,303561,297206,291123,284988,278681,272000,265204,258270,251321,244239,237290,230412,223463,216380,209412,202426,195485,188567,181768,175108,168655,162334,156281,150334,144562,138936,133474,128224,123168,118291,113502,108829,104298,99951,95688,91505,87400,83375,79432,75574,71802,68119,64527,61027,57624,54318,51112,48005,45000,42093,39286,36576,33965,31451
9,562660,543267,532760,532755,538376,538956,546981,554495,567192,562052,558982,565189,570842,565607,568836,567734,568873,563046,554146,541495,535259,515109,510343,498230,488628,476628,458997,442151,426377,420889,411859,399113,380433,374145,368629,363567,358696,353709,348851,344024,338997,334159,329073,323517,317976,312056,306028,299673,293590,287455,281148,274467,267671,260737,253788,246706,239757,232879,225930,218847,211879,204893,197952,191034,184235,177575,171122,164801,158748,152801,147029,141403,135941,130691,125635,120758,115969,111296,106765,102418,98155,93972,89867,85842,81899,78041,74269,70586,66994,63494,60091,56785,53579,50472,47467,44560,41753,39043,36432
10,566374,565920,547054,537956,537418,542326,545130,552693,558196,571096,564793,561023,565982,570929,565198,568351,567324,569271,562764,557192,544309,537368,517693,512878,500765,491163,479163,461532,444686,428912,423424,414394,401648,382968,376680,371164,366102,361231,356244,351386,346559,341532,336694,331608,326052,320511,314591,308563,302208,296125,289990,283683,277002,270206,263272,256323,249241,242292,235414,228465,221382,214414,207428,200487,193569,186770,180110,173657,167336,161283,155336,149564,143938,138476,133226,128170,123293,118504,113831,109300,104953,100690,96507,92402,88377,84434,80576,76804,73121,69529,66029,62626,59320,56114,53007,50002,47095,44288,41578
11,571769,568684,569499,551622,542931,541177,547924,551007,557461,561199,574185,566859,561945,566055,570683,564759,568083,567812,569337,566257,560013,546219,539820,520186,515371,503258,493656,481656,464025,447179,431405,425917,416887,404141,385461,379173,373657,368595,363724,358737,353879,349052,344025,339187,334101,328545,323004,317084,311056,304701,298618,292483,286176,279495,272699,265765,258816,251734,244785,237907,230958,223875,216907,209921,202980,196062,189263,182603,176150,169829,163776,157829,152057,146431,140969,135719,130663,125786,120997,116324,111793,107446,103183,99000,94895,90870,86927,83069,79297,75614,72022,68522,65119,61813,58607,55500,52495,49588,46781
