age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,523007,535656,542323,558500,551127,556884,560700,570791,562322,553218,537347,534047,512140,499940,482977,469956,455066,431007,414974,404956,400626,393920,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948,312300,312548,312711,312814,312868,312907,312953,313040,313162,313329,313566,313912,314368,314939,315622,316420,317321,318319,319416,320622,321928
1,529233,526577,538020,545596,559067,552870,560028,563021,569963,561694,551720,539163,533916,511448,499707,482975,470412,455746,436785,423269,407634,404252,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948,312300,312548,312711,312814,312868,312907,312953,313040,313162,313329,313566,313912,314368,314939,315622,316420,317321,318319,319416,320622
2,528131,533126,531043,540860,548487,560347,556146,562640,564317,569064,560943,554476,540449,532895,510117,499100,482810,470813,457314,443571,425183,411247,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948,312300,312548,312711,312814,312868,312907,312953,313040,313162,313329,313566,313912,314368,314939,315622,316420,317321,318319,319416
3,518790,530847,537507,535545,543768,550808,563000,559193,564536,565219,568135,563518,556034,539900,531804,508569,498644,482946,471696,464239,444638,428451,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948,312300,312548,312711,312814,312868,312907,312953,313040,313162,313329,313566,313912,314368,314939,315622,316420,317321,318319
4,515957,522484,534064,542329,540131,545782,554754,565127,560899,565563,565624,570533,565065,555647,539174,530684,507352,498240,483769,480475,464753,447374,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948,312300,312548,312711,312814,312868,312907,312953,313040,313162,313329,313566,313912,314368,314939,315622,316420,317321
5,521883,519874,526759,537687,547286,543899,549926,557963,566411,562064,566438,568059,571660,564915,555014,538315,529716,507118,499144,493318,478684,467140,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948,312300,312548,312711,312814,312868,312907,312953,313040,313162,313329,313566,313912,314368,314939,315622,316420
6,521774,525434,524440,531761,541502,551380,549632,553286,560048,566952,563169,568569,569197,571217,564416,554223,537576,529609,507291,501031,490819,481317,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948,312300,312548,312711,312814,312868,312907,312953,313040,313162,313329,313566,313912,314368,314939,315622
7,524929,525094,529430,529267,536730,544564,557571,554779,555487,561735,567808,564994,569486,568782,570307,563484,553502,537809,529473,510437,505591,493151,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948,312300,312548,312711,312814,312868,312907,312953,313040,313162,313329,313566,313912,314368,314939
8,539637,528714,528612,533557,534646,540875,549836,562743,558705,557192,563165,569721,565785,569129,568376,569449,562718,553691,537902,532059,512964,507730,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948,312300,312548,312711,312814,312868,312907,312953,313040,313162,313329,313566,313912,314368
9,562660,543267,532760,532755,538376,538956,546981,554495,567192,562052,558982,565189,570842,565607,568836,567734,568873,563046,554146,541495,535259,515109,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948,312300,312548,312711,312814,312868,312907,312953,313040,313162,313329,313566,313912
10,566374,565920,547054,537956,537418,542326,545130,552693,558196,571096,564793,561023,565982,570929,565198,568351,567324,569271,562764,557192,544309,537368,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948,312300,312548,312711,312814,312868,312907,312953,313040,313162,313329,313566
11,571769,568684,569499,551622,542931,541177,547924,551007,557461,561199,574185,566859,561945,566055,570683,564759,568083,567812,569337,566257,560013,546219,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948,312300,312548,312711,312814,312868,312907,312953,313040,313162,313329
12,562281,573863,571180,573595,556540,547135,546663,553371,555780,561491,563954,576443,567704,562246,566021,570232,564478,568576,568025,573063,568876,561956,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948,312300,312548,312711,312814,312868,312907,312953,313040,313162
13,565951,564359,576103,574651,578284,560460,553021,551938,557633,559950,564733,566121,577668,567956,562296,565648,570184,565035,569063,572003,575758,570894,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948,312300,312548,312711,312814,312868,312907,312953,313040
14,544761,568358,566610,578992,578169,582015,566019,558684,556355,561392,563250,566488,567354,578507,568077,562006,565934,571168,565871,573180,574688,577971,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948,312300,312548,312711,312814,312868,312907,312953
15,559012,547025,570882,569709,582731,581012,587212,571616,563539,560238,564605,565211,567577,568252,579057,567907,562182,566861,572210,570115,575894,576880,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948,312300,312548,312711,312814,312868,312907
16,578356,559983,549909,574567,573866,585817,585422,592699,576646,567923,563391,566829,566463,568447,569082,579513,568641,563617,568006,574780,572808,578392,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948,312300,312548,312711,312814,312868
17,586101,579525,561513,554212,579441,577712,590672,590575,597942,581230,571802,566265,568311,567946,569765,570420,581989,570790,565389,569673,580417,576342,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948,312300,312548,312711,312814
18,601777,588055,582069,566152,560832,585235,584895,598015,597142,604124,586324,575809,568901,570728,570722,575369,579330,586873,574707,566163,569708,586339,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948,312300,312548,312711
19,626198,602618,591807,585495,569759,566346,594830,594316,605884,603863,610128,591398,579167,572067,574614,577538,587285,585535,590744,576282,567290,577155,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948,312300,312548
20,635651,626170,607321,595956,587868,572335,578058,605312,602480,612576,609674,615775,594700,581875,575189,580173,585466,592118,587458,592909,575636,573782,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948,312300
21,650257,635305,632583,612255,599074,590835,584140,590437,614206,610542,618718,615920,619721,596841,584654,580454,587622,590127,593017,588045,588503,581848,581294,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496,311948
22,672028,650621,643386,639224,615714,603119,604671,596519,600267,623820,618115,625991,620480,622716,599431,588669,586266,591595,590999,593757,583508,595721,590338,581294,583884,592297,581658,582548,580241,580898,573577,564423,548709,539820,517693,510343,495763,483931,469845,450186,431424,413942,406841,396272,382068,363388,362950,363171,363783,364534,365097,365754,366405,366777,367341,367569,367167,366721,365693,364428,362598,361102,359508,357614,355120,352537,349807,347120,344243,341642,339188,336585,333672,330952,328116,325234,322224,319287,316473,313951,311551,309647,307826,306281,304938,303865,303234,303025,303218,303518,304027,304853,306145,307349,308440,309401,310226,310923,311496
