age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,523007,535656,542323,558500,551127,556884,560700,570791,562322,553218,537347,534047,512140,499940,482977,469956,455066,431007,414974,404956,400626,393920,382068,363388,361926,361216,360961,360899,360711,360659,360638,360394,360356,360033,359147,358251,356869,355308,353285,351540,349668,347504,344762,341859,338749,335590,332201,328957,325764,322405,318765,315218,311541,307829,304031,300302,296674,293269,289958,287001,284096,281378,278793,276386,274267,272416,270814,269259,267816,266555,265595,264591,263528,262393,261186,259910,258568,257159,255697,254178,252611,251010,249379,247733,246081,244438,242799,241168,239555,237978,236439,234940,233482,232067,230691,229352,228052,226796,225580
1,529233,526577,538020,545596,559067,552870,560028,563021,569963,561694,551720,539163,533916,511448,499707,482975,470412,455746,436785,423269,407634,404252,396272,383526,364846,363384,362674,362419,362357,362169,362117,362096,361852,361814,361491,360605,359709,358327,356766,354743,352998,351126,348962,346220,343317,340207,337048,333659,330415,327222,323863,320223,316676,312999,309287,305489,301760,298132,294727,291416,288459,285554,282836,280251,277844,275725,273874,272272,270717,269274,268013,267053,266049,264986,263851,262644,261368,260026,258617,257155,255636,254069,252468,250837,249191,247539,245896,244257,242626,241013,239436,237897,236398,234940,233525,232149,230810,229510,228254
2,528131,533126,531043,540860,548487,560347,556146,562640,564317,569064,560943,554476,540449,532895,510117,499100,482810,470813,457314,443571,425183,411247,406841,397811,385065,366385,364923,364213,363958,363896,363708,363656,363635,363391,363353,363030,362144,361248,359866,358305,356282,354537,352665,350501,347759,344856,341746,338587,335198,331954,328761,325402,321762,318215,314538,310826,307028,303299,299671,296266,292955,289998,287093,284375,281790,279383,277264,275413,273811,272256,270813,269552,268592,267588,266525,265390,264183,262907,261565,260156,258694,257175,255608,254007,252376,250730,249078,247435,245796,244165,242552,240975,239436,237937,236479,235064,233688,232349,231049
3,518790,530847,537507,535545,543768,550808,563000,559193,564536,565219,568135,563518,556034,539900,531804,508569,498644,482946,471696,464239,444638,428451,413942,408454,399424,386678,367998,366536,365826,365571,365509,365321,365269,365248,365004,364966,364643,363757,362861,361479,359918,357895,356150,354278,352114,349372,346469,343359,340200,336811,333567,330374,327015,323375,319828,316151,312439,308641,304912,301284,297879,294568,291611,288706,285988,283403,280996,278877,277026,275424,273869,272426,271165,270205,269201,268138,267003,265796,264520,263178,261769,260307,258788,257221,255620,253989,252343,250691,249048,247409,245778,244165,242588,241049,239550,238092,236677,235301,233962
4,515957,522484,534064,542329,540131,545782,554754,565127,560899,565563,565624,570533,565065,555647,539174,530684,507352,498240,483769,480475,464753,447374,431424,415650,410162,401132,388386,369706,368244,367534,367279,367217,367029,366977,366956,366712,366674,366351,365465,364569,363187,361626,359603,357858,355986,353822,351080,348177,345067,341908,338519,335275,332082,328723,325083,321536,317859,314147,310349,306620,302992,299587,296276,293319,290414,287696,285111,282704,280585,278734,277132,275577,274134,272873,271913,270909,269846,268711,267504,266228,264886,263477,262015,260496,258929,257328,255697,254051,252399,250756,249117,247486,245873,244296,242757,241258,239800,238385,237009
5,521883,519874,526759,537687,547286,543899,549926,557963,566411,562064,566438,568059,571660,564915,555014,538315,529716,507118,499144,493318,478684,467140,450186,433340,417566,412078,403048,390302,371622,370160,369450,369195,369133,368945,368893,368872,368628,368590,368267,367381,366485,365103,363542,361519,359774,357902,355738,352996,350093,346983,343824,340435,337191,333998,330639,326999,323452,319775,316063,312265,308536,304908,301503,298192,295235,292330,289612,287027,284620,282501,280650,279048,277493,276050,274789,273829,272825,271762,270627,269420,268144,266802,265393,263931,262412,260845,259244,257613,255967,254315,252672,251033,249402,247789,246212,244673,243174,241716,240301
6,521774,525434,524440,531761,541502,551380,549632,553286,560048,566952,563169,568569,569197,571217,564416,554223,537576,529609,507291,501031,490819,481317,469845,452214,435368,419594,414106,405076,392330,373650,372188,371478,371223,371161,370973,370921,370900,370656,370618,370295,369409,368513,367131,365570,363547,361802,359930,357766,355024,352121,349011,345852,342463,339219,336026,332667,329027,325480,321803,318091,314293,310564,306936,303531,300220,297263,294358,291640,289055,286648,284529,282678,281076,279521,278078,276817,275857,274853,273790,272655,271448,270172,268830,267421,265959,264440,262873,261272,259641,257995,256343,254700,253061,251430,249817,248240,246701,245202,243744
7,524929,525094,529430,529267,536730,544564,557571,554779,555487,561735,567808,564994,569486,568782,570307,563484,553502,537809,529473,510437,505591,493151,483931,471931,454300,437454,421680,416192,407162,394416,375736,374274,373564,373309,373247,373059,373007,372986,372742,372704,372381,371495,370599,369217,367656,365633,363888,362016,359852,357110,354207,351097,347938,344549,341305,338112,334753,331113,327566,323889,320177,316379,312650,309022,305617,302306,299349,296444,293726,291141,288734,286615,284764,283162,281607,280164,278903,277943,276939,275876,274741,273534,272258,270916,269507,268045,266526,264959,263358,261727,260081,258429,256786,255147,253516,251903,250326,248787,247288
8,539637,528714,528612,533557,534646,540875,549836,562743,558705,557192,563165,569721,565785,569129,568376,569449,562718,553691,537902,532059,512964,507730,495763,486161,474161,456530,439684,423910,418422,409392,396646,377966,376504,375794,375539,375477,375289,375237,375216,374972,374934,374611,373725,372829,371447,369886,367863,366118,364246,362082,359340,356437,353327,350168,346779,343535,340342,336983,333343,329796,326119,322407,318609,314880,311252,307847,304536,301579,298674,295956,293371,290964,288845,286994,285392,283837,282394,281133,280173,279169,278106,276971,275764,274488,273146,271737,270275,268756,267189,265588,263957,262311,260659,259016,257377,255746,254133,252556,251017
9,562660,543267,532760,532755,538376,538956,546981,554495,567192,562052,558982,565189,570842,565607,568836,567734,568873,563046,554146,541495,535259,515109,510343,498230,488628,476628,458997,442151,426377,420889,411859,399113,380433,378971,378261,378006,377944,377756,377704,377683,377439,377401,377078,376192,375296,373914,372353,370330,368585,366713,364549,361807,358904,355794,352635,349246,346002,342809,339450,335810,332263,328586,324874,321076,317347,313719,310314,307003,304046,301141,298423,295838,293431,291312,289461,287859,286304,284861,283600,282640,281636,280573,279438,278231,276955,275613,274204,272742,271223,269656,268055,266424,264778,263126,261483,259844,258213,256600,255023
