age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,523007,535656,542323,558500,551127,556884,560700,570791,562322,553218,537347,534047,512140,499940,482977,469956,455066,431007,414974,404956,400626,393920,382068,363388,357100,351544,346404,341417,336280,331239,326197,320927,315817,310436,304560,298678,292399,285995,279249,272762,266213,259485,252377,245152,237788,230412,222905,215538,208249,200897,193422,186074,178719,171425,164168,157047,150081,143341,136750,130447,124269,118288,112474,106847,101455,96281,91310,86452,81737,77191,72854,68630,64514,60505,56604,52816,49142,45584,42147,38832,35641,32577,29642,26838,24165,21625,19215,16935,14784,12762,10867,9098,7451,5925,4516,3222,2040,967,0
1,529233,526577,538020,545596,559067,552870,560028,563021,569963,561694,551720,539163,533916,511448,499707,482975,470412,455746,436785,423269,407634,404252,396272,383526,364827,358519,352943,347784,342778,337621,332561,327500,322210,317081,311680,305785,299883,293585,287162,280396,273890,267321,260574,253446,246202,238819,231423,223897,216510,209201,201830,194336,186968,179594,172280,165004,157863,150878,144118,137508,131185,124989,118988,113154,107508,102096,96903,91913,87036,82301,77735,73379,69135,65000,60971,57051,53243,49550,45973,42517,39182,35971,32888,29934,27110,24418,21858,19429,17129,14959,12918,11003,9214,7548,6002,4574,3261,2059,967
2,528131,533126,531043,540860,548487,560347,556146,562640,564317,569064,560943,554476,540449,532895,510117,499100,482810,470813,457314,443571,425183,411247,406841,397811,385044,366325,359997,354400,349220,344194,339016,333936,328854,323543,318394,312973,307057,301135,294817,288372,281586,275059,268471,261702,254554,247289,239886,232470,224923,217516,210186,202794,195279,187891,180497,173162,165866,158705,151699,144918,138288,131945,125727,119706,113852,108185,102753,97539,92528,87631,82876,78289,73913,69648,65492,61443,57503,53674,49960,46363,42886,39531,36299,33196,30221,27377,24664,22084,19634,17314,15123,13061,11126,9317,7630,6064,4615,3281,2059
3,518790,530847,537507,535545,543768,550808,563000,559193,564536,565219,568135,563518,556034,539900,531804,508569,498644,482946,471696,464239,444638,428451,413942,408454,399402,386614,367873,361524,355906,350704,345656,340457,335355,330252,324920,319749,314306,308369,302425,296085,289620,282812,276264,269653,262864,255694,248408,240982,233545,225977,218548,211197,203784,196247,188838,181422,174066,166748,159565,152538,145736,139084,132719,126480,120437,114562,108873,103419,98184,93152,88233,83456,78848,74451,70165,65987,61916,57954,54104,50369,46750,43252,39875,36622,33497,30501,27635,24901,22299,19828,17486,15274,13190,11234,9403,7695,6107,4637,3281
4,515957,522484,534064,542329,540131,545782,554754,565127,560899,565563,565624,570533,565065,555647,539174,530684,507352,498240,483769,480475,464753,447374,431424,415650,410139,401064,388254,369490,363118,357477,352253,347182,341960,336836,331709,326355,321161,315695,309735,303769,297406,290918,284087,277516,270883,264071,256878,249569,242121,234661,227070,219619,212245,204809,197249,189817,182378,174999,167659,160453,153403,146578,139903,133516,127254,121189,115291,109579,104103,98844,93790,88848,84048,79418,74997,70688,66488,62394,58410,54537,50779,47137,43616,40216,36941,33793,30774,27885,25129,22504,20010,17646,15410,13304,11325,9471,7740,6130,4637
5,521883,519874,526759,537687,547286,543899,549926,557963,566411,562064,566438,568059,571660,564915,555014,538315,529716,507118,499144,493318,478684,467140,450186,433340,417540,412004,402904,390067,371278,364880,359214,353964,348868,343621,338471,333319,327939,322719,317228,311243,305251,298862,292348,285492,278896,272237,265399,258181,250846,243373,235887,228270,220794,213394,205933,198348,190890,183425,176021,168655,161424,154349,147498,140798,134384,128097,122006,116083,110346,104843,99560,94479,89512,84687,80031,75585,71250,67024,62905,58895,54997,51213,47546,43999,40574,37273,34100,31055,28141,25358,22708,20189,17799,15538,13406,11402,9522,7766,6130
6,521774,525434,524440,531761,541502,551380,549632,553286,560048,566952,563169,568569,569197,571217,564416,554223,537576,529609,507291,501031,490819,481317,469845,452214,435340,419514,413951,404824,391960,373144,366719,361026,355749,350626,345351,340174,334995,329588,324342,318823,312811,306792,300377,293836,286952,280329,273643,266778,259533,252171,244671,237158,229514,222010,214584,207095,199483,191998,184507,177076,169683,162424,155322,148444,141717,135277,128963,122844,116894,111130,105601,100290,95182,90188,85336,80653,76180,71818,67565,63419,59382,55457,51646,47951,44378,40925,37597,34397,31325,28384,25575,22898,20351,17934,15646,13487,11456,9549,7766
7,524929,525094,529430,529267,536730,544564,557571,554779,555487,561735,567808,564994,569486,568782,570307,563484,553502,537809,529473,510437,505591,493151,483931,471931,454272,437371,421516,415925,406771,393879,375036,368583,362862,357557,352406,347104,341899,336692,331257,325983,320436,314396,308350,301906,295338,288427,281775,275062,268169,260896,253506,245978,238437,230766,223234,215780,208263,200624,193111,185592,178133,170712,163426,156296,149390,142635,136167,129825,123679,117700,111909,106352,101013,95878,90856,85976,81265,76764,72375,68094,63920,59855,55902,52063,48341,44739,41259,37903,34675,31576,28607,25769,23065,20490,18045,15730,13543,11484,9549
8,539637,528714,528612,533557,534646,540875,549836,562743,558705,557192,563165,569721,565785,569129,568376,569449,562718,553691,537902,532059,512964,507730,495763,486161,474131,456442,439512,423627,418007,408822,395901,377028,370545,364794,359460,354279,348947,343712,338476,333011,327707,322131,316061,309985,303512,296913,289973,283292,276548,269626,262323,254904,247346,239775,232074,224513,217029,209483,201813,194271,186722,179233,171782,164466,157306,150371,143586,137089,130717,124541,118533,112712,107125,101756,96591,91539,86630,81889,77358,72939,68629,64425,60330,56348,52479,48727,45096,41586,38201,34943,31813,28815,25948,23213,20609,18134,15789,13573,11484
9,562660,543267,532760,532755,538376,538956,546981,554495,567192,562052,558982,565189,570842,565607,568836,567734,568873,563046,554146,541495,535259,515109,510343,498230,488595,476532,458811,441847,425930,420276,411059,398105,379199,372683,366899,361532,356319,350954,345686,340417,334919,329582,323973,317871,311761,305255,298624,291650,284936,278160,271205,263869,256417,248826,241223,233489,225894,218377,210798,203096,195521,187939,180417,172933,165585,158392,151424,144606,138075,131671,125462,119421,113567,107947,102546,97348,92263,87321,82547,77983,73532,69188,64952,60824,56808,52907,49122,45458,41915,38497,35206,32044,29012,26112,23345,20708,18200,15822,13573
