age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,523007,535656,542323,558500,551127,556884,560700,570791,562322,553218,537347,534047,512140,499940,482977,469956,455066,431007,414974,404956,400626,393920,382068,363388,366071,369448,373235,377174,380932,384784,388619,392161,395875,399218,401870,404436,406372,408014,409027,410269,411265,411813,411556,411091,410357,409548,408438,407499,406621,405525,404058,402705,401179,399599,397899,396284,394803,393626,392581,392038,391578,391393,391411,391704,392441,393602,395173,396857,398759,400987,403734,406347,408800,411073,413161,415068,416799,418355,419759,421004,422109,423101,423991,424812,425590,426358,427113,427871,428660,429528,430478,431518,432644,433865,435168,436549,438008,439558,441189
1,529233,526577,538020,545596,559067,552870,560028,563021,569963,561694,551720,539163,533916,511448,499707,482975,470412,455746,436785,423269,407634,404252,396272,383526,364827,367490,370848,374615,378535,382273,386105,389922,393444,397139,400463,403095,405642,407557,409181,410174,411396,412373,412902,412625,412141,411387,410559,409429,408471,407574,406459,404972,403600,402054,400454,398735,397101,395600,394404,393339,392776,392297,392092,392092,392365,393082,394224,395775,397440,399323,401531,404259,406853,409286,411540,413608,415496,417208,418744,420128,421354,422439,423412,424282,425085,425843,426591,427327,428065,428835,429683,430614,431634,432742,433943,435227,436587,438028,439558
2,528131,533126,531043,540860,548487,560347,556146,562640,564317,569064,560943,554476,540449,532895,510117,499100,482810,470813,457314,443571,425183,411247,406841,397811,385044,366325,368967,372304,376051,379951,383668,387480,391276,394778,398452,401755,404367,406893,408789,410391,411364,412566,413522,414031,413733,413228,412454,411606,410455,409477,408559,407423,405916,404523,402957,401337,399597,397942,396421,395204,394119,393535,393036,392811,392790,393042,393739,394860,396391,398035,399898,402085,404792,407366,409779,412012,414059,415927,417618,419134,420497,421702,422767,423720,424570,425351,426089,426817,427532,428250,428999,429827,430737,431737,432824,434004,435268,436608,438028
3,518790,530847,537507,535545,543768,550808,563000,559193,564536,565219,568135,563518,556034,539900,531804,508569,498644,482946,471696,464239,444638,428451,413942,408454,399402,386614,367873,370494,373810,377535,381413,385109,388900,392674,396155,399807,403089,405679,408184,410058,411639,412590,413770,414705,415192,414873,414346,413551,412681,411509,410509,409570,408412,406883,405469,403881,402240,400478,398802,397259,396021,394915,394310,393789,393542,393499,393730,394405,395505,397015,398638,400478,402644,405330,407882,410273,412485,414511,416357,418027,419521,420863,422047,423090,424021,424849,425609,426325,427032,427725,428422,429150,429956,430845,431823,432888,434047,435289,436608
4,515957,522484,534064,542329,540131,545782,554754,565127,560899,565563,565624,570533,565065,555647,539174,530684,507352,498240,483769,480475,464753,447374,431424,415650,410139,401064,388254,369490,372088,375381,379084,382939,386612,390380,394132,397589,401219,404478,407045,409527,411378,412937,413865,415023,415934,416399,416057,415508,414689,413797,412602,411579,410617,409437,407885,406449,404838,403174,401389,399690,398125,396864,395734,395107,394563,394293,394228,394436,395089,396166,397652,399252,401070,403214,405877,408405,410774,412963,414966,416790,418437,419908,421227,422388,423409,424317,425122,425860,426553,427237,427907,428582,429286,430070,430936,431891,432934,434070,435289
5,521883,519874,526759,537687,547286,543899,549926,557963,566411,562064,566438,568059,571660,564915,555014,538315,529716,507118,499144,493318,478684,467140,450186,433340,417540,412004,402904,390067,371278,373851,377118,380796,384625,388273,392015,395741,399173,402777,406011,408552,411009,412835,414367,415270,416402,417288,417727,417360,416785,415941,415023,413803,412754,411767,410561,408984,407522,405885,404195,402386,400661,399070,397784,396629,395975,395406,395111,395020,395203,395830,396881,398342,399917,401709,403827,406464,408967,411311,413474,415452,417250,418871,420317,421611,422746,423741,424623,425403,426115,426783,427441,428086,428735,429414,430172,431013,431942,432959,434070
6,521774,525434,524440,531761,541502,551380,549632,553286,560048,566952,563169,568569,569197,571217,564416,554223,537576,529609,507291,501031,490819,481317,469845,452214,435340,419514,413951,404824,391960,373144,375690,378930,382580,386383,390004,393719,397417,400823,404399,407606,410121,412550,414349,415855,416731,417835,418694,419106,418712,418110,417239,416294,415047,413971,412957,411724,410120,408630,406967,405250,403413,401662,400044,398730,397548,396868,396271,395949,395831,395987,396587,397611,399045,400593,402358,404449,407059,409535,411852,413988,415938,417709,419304,420723,421989,423097,424065,424921,425674,426359,426999,427630,428249,428870,429522,430253,431067,431969,432959
7,524929,525094,529430,529267,536730,544564,557571,554779,555487,561735,567808,564994,569486,568782,570307,563484,553502,537809,529473,510437,505591,493151,483931,471931,454272,437371,421516,415925,406771,393879,375036,377553,380766,384388,388163,391756,395443,399114,402491,406040,409219,411706,414108,415879,417357,418205,419282,420113,420497,420075,419445,418546,417573,416298,415195,414153,412892,411260,409743,408052,406307,404442,402663,401017,399676,398466,397758,397134,396783,396638,396765,397338,398334,399740,401260,402998,405061,407643,410092,412380,414489,416411,418154,419721,421112,422351,423431,424371,425199,425924,426581,427194,427797,428388,428981,429606,430309,431094,431969
8,539637,528714,528612,533557,534646,540875,549836,562743,558705,557192,563165,569721,565785,569129,568376,569449,562718,553691,537902,532059,512964,507730,495763,486161,474131,456442,439512,423627,418007,408822,395901,377028,379516,382698,386291,390036,393599,397257,400898,404246,407765,410914,413371,415743,417484,418932,419751,420798,421600,421954,421502,420843,419914,418911,417606,416474,415402,414111,412449,410902,409181,407407,405513,403703,402028,400657,399417,398679,398026,397646,397470,397568,398111,399078,400454,401944,403652,405685,408238,410657,412915,414994,416887,418600,420137,421499,422708,423758,424669,425467,426162,426789,427372,427946,428507,429071,429665,430338,431094
9,562660,543267,532760,532755,538376,538956,546981,554495,567192,562052,558982,565189,570842,565607,568836,567734,568873,563046,554146,541495,535259,515109,510343,498230,488595,476532,458811,441847,425930,420276,411059,398105,379199,381654,384804,388363,392075,395606,399230,402839,406154,409640,412756,415180,417519,419227,420643,421428,422443,423211,423533,423048,422356,421394,420359,419021,417855,416750,415427,413732,412152,410399,408591,406664,404822,403113,401710,400437,399666,398979,398567,398358,398423,398933,399867,401211,402668,404343,406343,408863,411249,413474,415520,417380,419061,420565,421893,423069,424087,424965,425730,426392,426987,427537,428078,428605,429136,429698,430338
10,566374,565920,547054,537956,537418,542326,545130,552693,558196,571096,564793,561023,565982,570929,565198,568351,567324,569271,562764,557192,544309,537368,517693,512878,500731,491062,478966,461210,444213,428262,422575,413324,400336,381396,383817,386933,390459,394137,397634,401224,404799,408080,411533,414615,417005,419311,420985,422367,423118,424099,424834,425121,424603,423877,422882,421812,420440,419241,418102,416745,415017,413403,411615,409774,407813,405937,404195,402757,401451,400646,399926,399479,399237,399268,399744,400645,401954,403377,405019,406985,409471,411823,414015,416027,417854,419500,420970,422265,423407,424391,425235,425966,426595,427156,427672,428179,428673,429170,429698
11,571769,568684,569499,551622,542931,541177,547924,551007,557461,561199,574185,566859,561945,566055,570683,564759,568083,567812,569337,566257,560013,546219,539820,520186,515337,503157,493455,481326,463537,446507,430523,424802,415517,402496,383523,385911,388994,392487,396131,399595,403152,406694,409942,413361,416410,418767,421039,422680,424029,424747,425694,426396,426650,426099,425339,424311,423208,421803,420570,419399,418008,416246,414600,412779,410904,408910,407001,405225,403755,402415,401577,400823,400344,400068,400066,400509,401376,402652,404042,405650,407584,410036,412355,414514,416493,418286,419899,421336,422598,423707,424657,425468,426166,426761,427289,427772,428245,428706,429170
