age,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,-0.02443089,-0.023538430000000003,-0.021786049999999998,-0.02045305,-0.018872160000000002,-0.01761368,-0.01624547,-0.01506208,-0.01330362,-0.01248751,-0.01165704,-0.01115698,-0.0109685,-0.010255760000000001,-0.00947876,-0.00917893,-0.00851966,-0.0084055,-0.00796043,-0.00779201,-0.00737505,-0.00674511,-0.00617629,-0.00580326,-0.0056684299999999995,-0.0053095600000000005,-0.0048986,-0.00465539,-0.00431637,-0.0040675,-0.00371367,-0.00353061,-0.00336251,-0.0032325599999999998,-0.0031339700000000002,-0.00320258,-0.0032051799999999997,-0.00315169,-0.00301065,-0.0030118000000000002,-0.00297581,-0.00297828,-0.00296235,-0.00291464,-0.00291817,-0.00278395,-0.0026322299999999997,-0.00240699,-0.00234568,-0.00246276
1,-0.00116066,-0.00103422,-0.00099165,-0.00095104,-0.0009311199999999999,-0.00089056,-0.00087987,-0.00084193,-0.00081799,-0.00076883,-0.00069918,-0.000638,-0.00053224,-0.00056415,-0.00053859,-0.00049232,-0.000447,-0.00047143,-0.00049745,-0.00045924999999999997,-0.00044761000000000003,-0.00045505000000000003,-0.00043327,-0.00042335,-0.00037196,-0.00033846,-0.000296,-0.00028931000000000003,-0.00027765,-0.00025435999999999997,-0.00024638,-0.00022535,-0.00023036999999999998,-0.00021857999999999998,-0.00021657000000000002,-0.00021295,-0.00021321,-0.00021778,-0.00021551,-0.00022616,-0.00021728,-0.00021071000000000002,-0.00018973999999999998,-0.00020257,-0.00020407,-0.00020848,-0.00019069,-0.00018155,-0.00017468,-0.00019826
2,-0.00080348,-0.0007294000000000001,-0.0006874299999999999,-0.00066184,-0.0006434800000000001,-0.00061949,-0.0006174899999999999,-0.00058284,-0.00056951,-0.0005413400000000001,-0.00050204,-0.00047066999999999996,-0.00039702,-0.00039987,-0.00038544,-0.00036343,-0.00033365,-0.00034038,-0.00035253,-0.00036470999999999997,-0.00036534,-0.00035788,-0.00033148,-0.00032665,-0.00029545,-0.00026437,-0.00021956,-0.00020968999999999998,-0.00020472,-0.00019674,-0.00019004,-0.00017678,-0.00017689,-0.00016701,-0.0001656,-0.00016399,-0.00016491,-0.00015946,-0.00015767,-0.00016048,-0.00016308,-0.00016200999999999998,-0.0001476,-0.00014528,-0.00014497,-0.00015157999999999998,-0.00014254,-0.00013456,-0.00012547,-0.00013875
3,-0.00057996,-0.0005403799999999999,-0.00049936,-0.00048049,-0.00045956999999999997,-0.00044313999999999996,-0.0004482,-0.00042205,-0.00041508,-0.00039368,-0.00037186,-0.00035321,-0.00030719000000000005,-0.00029665000000000003,-0.00028641,-0.00027857,-0.00026015,-0.00026178000000000003,-0.00026516,-0.00029334,-0.0002961,-0.00028696,-0.00026195,-0.00025689,-0.0002369,-0.00020938,-0.00016845,-0.00016013,-0.00015908,-0.00015732,-0.00014841,-0.00014177000000000002,-0.00014050000000000003,-0.00013178000000000002,-0.00012955,-0.00012548,-0.00012738,-0.00012132,-0.00012249,-0.00011655,-0.0001217,-0.00012399,-0.00011483999999999999,-0.00010717,-0.00010941,-0.00011358000000000001,-0.00010965999999999999,-0.00010102,-9.435e-05,-0.00010263999999999999
4,-0.00045033000000000003,-0.0004304,-0.00039231,-0.00037668,-0.00035273,-0.00033785,-0.00034652,-0.00032878000000000003,-0.00032648,-0.00030453999999999995,-0.00029172,-0.00027659,-0.00025174999999999997,-0.00023678,-0.00022677,-0.00022524,-0.00021405,-0.00021636,-0.00021521000000000002,-0.00024178,-0.00024218000000000002,-0.00023755,-0.00021671,-0.00020992,-0.0001946,-0.00017085,-0.00013716,-0.00013142,-0.00013183,-0.00013142,-0.00012013,-0.0001177,-0.00011635,-0.00010912,-0.00010567999999999999,-0.00010147,-0.00010084,-9.769e-05,-9.97e-05,-8.96e-05,-9.479e-05,-9.793e-05,-9.164e-05,-8.423999999999999e-05,-8.944000000000001e-05,-8.939e-05,-8.765e-05,-7.861999999999999e-05,-7.59e-05,-8.253000000000001e-05
5,-0.00042235,-0.00040060000000000003,-0.00036927,-0.00035675,-0.00033141999999999997,-0.0003117,-0.00031694,-0.00030347,-0.00030944,-0.00028054,-0.00026919,-0.00024878,-0.00023359,-0.00022302,-0.00021104999999999998,-0.00020606,-0.00019604,-0.00019944,-0.00019461,-0.00020766,-0.00020776,-0.00021082999999999999,-0.00019682,-0.00019053999999999997,-0.00017241999999999998,-0.00015233,-0.00012934,-0.00012441,-0.00012067999999999999,-0.00012489,-0.00010845000000000001,-0.00010481,-0.000106,-0.00010045,-9.476e-05,-9.248000000000001e-05,-8.953e-05,-8.855e-05,-9.112000000000001e-05,-8.345e-05,-8.005e-05,-8.013000000000001e-05,-8.103e-05,-7.9e-05,-8.353e-05,-7.91e-05,-7.493e-05,-6.826e-05,-7.265e-05,-7.759000000000001e-05
6,-0.00039814,-0.0003785,-0.00035924,-0.00034871999999999995,-0.00032434,-0.00029686000000000003,-0.00029696,-0.00028181,-0.00028555999999999997,-0.00025799,-0.00025027,-0.00023265,-0.00022603,-0.000216,-0.00019706000000000001,-0.00018719,-0.00017649,-0.00018744,-0.00019112,-0.00019703,-0.00018647,-0.00019503,-0.00018392,-0.00017891,-0.00015674,-0.0001384,-0.00012239,-0.0001193,-0.00011709,-0.00011121,-0.00010273,-9.825e-05,-9.471e-05,-9.665e-05,-9.067e-05,-8.821e-05,-8.159e-05,-8.364e-05,-9.004e-05,-8.381e-05,-7.516e-05,-7.831e-05,-7.509e-05,-7.657e-05,-8.012e-05,-7.204000000000001e-05,-7.029e-05,-6.693e-05,-7.149e-05,-7.737e-05
7,-0.0003729,-0.00035548999999999997,-0.00034202,-0.00033213,-0.00031554,-0.00029237,-0.00029003,-0.00027522999999999995,-0.00027839000000000005,-0.00024783,-0.00023956,-0.0002252,-0.00021705,-0.00020419,-0.00018839,-0.00017892,-0.00016926,-0.00017743000000000001,-0.00018338,-0.00018669,-0.00017912,-0.0001831,-0.00017143,-0.00016423,-0.00014811,-0.00012914,-0.00012019,-0.0001104,-0.0001128,-0.0001048,-0.00010489,-9.439e-05,-9.228e-05,-9.352000000000001e-05,-8.78e-05,-8.96e-05,-7.947999999999999e-05,-8.021e-05,-7.459e-05,-7.864e-05,-7.601e-05,-7.291e-05,-7.507e-05,-7.439999999999999e-05,-7.87e-05,-6.822000000000001e-05,-6.393e-05,-6.378e-05,-7.04e-05,-7.551e-05
8,-0.00034414,-0.00033213,-0.00032158999999999996,-0.00031506,-0.00030178,-0.00028221,-0.00027958,-0.00025812000000000003,-0.00025493,-0.00022994,-0.00022661,-0.00022435,-0.00021425,-0.00020502999999999998,-0.00018546,-0.00017424999999999998,-0.00016191,-0.00016423,-0.00016984,-0.00017537,-0.00017609,-0.00017099000000000001,-0.00015944,-0.00014791,-0.00014295,-0.00012200999999999999,-0.0001121,-0.00010288,-0.00010905,-0.00010174999999999999,-9.944e-05,-9.305e-05,-8.411e-05,-9.036e-05,-8.520999999999999e-05,-8.643000000000001e-05,-7.819e-05,-8.114e-05,-7.206e-05,-7.679e-05,-7.413e-05,-7.244e-05,-7.584e-05,-7.609e-05,-7.525e-05,-6.973e-05,-6.152e-05,-6.554e-05,-6.364000000000001e-05,-7.318e-05
9,-0.00031508999999999997,-0.00030514,-0.00029778,-0.0002944,-0.00028849999999999997,-0.00027591,-0.00027596,-0.00025580000000000004,-0.00023829,-0.00021383,-0.00021256,-0.00021437,-0.00021035999999999998,-0.00020352,-0.00018457,-0.0001694,-0.00016233,-0.00016254,-0.00016661,-0.00016824,-0.00017073,-0.00016270000000000002,-0.00015234,-0.00014082,-0.00014023,-0.00011878,-0.00010596999999999999,-0.00010104000000000001,-0.00010705,-0.00010008,-9.729e-05,-9.048e-05,-8.265e-05,-8.504e-05,-8.102e-05,-8.554000000000001e-05,-7.984e-05,-8.073e-05,-7.357e-05,-7.512000000000001e-05,-7.273e-05,-7.214e-05,-7.277e-05,-7.438e-05,-7.500999999999999e-05,-7.659000000000001e-05,-6.53e-05,-6.644e-05,-6.497999999999999e-05,-7.159e-05
