age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,2407,2386,2028,2002,1874,1843,1831,1893,1885,1869,1844,1808,1783,1929,1821,1888,1848,1763,1947,1690,1680,1625
1,156,146,136,124,128,125,128,124,123,130,128,138,131,135,116,129,126,133,140,126,121,132
2,111,117,103,102,100,97,99,94,93,94,98,96,95,103,92,90,88,95,103,91,92,92
3,89,93,81,79,78,74,76,76,76,71,73,72,71,77,67,71,69,69,81,70,64,66
4,72,76,65,68,66,62,64,59,58,59,61,54,53,64,55,51,56,57,66,56,57,52
5,66,70,60,56,61,57,52,53,52,53,55,48,47,51,49,51,50,50,51,49,50,52
6,66,64,54,56,50,57,52,53,46,47,55,48,41,51,43,51,50,44,51,49,50,52
7,61,58,54,51,50,51,52,53,46,47,42,48,47,45,43,45,50,44,44,42,50,52
8,61,58,54,51,44,51,46,53,46,47,42,48,41,45,49,51,44,44,44,49,42,46
9,61,58,54,51,44,45,46,53,46,47,42,42,41,45,43,45,44,50,51,49,42,46
10,61,58,54,51,44,45,46,53,46,47,49,42,41,45,43,51,50,50,51,49,50,46
11,61,64,54,56,50,51,46,53,52,53,49,48,47,45,43,51,50,50,51,49,50,46
12,72,70,60,62,61,57,58,59,58,53,55,54,53,51,49,51,56,50,59,49,50,52
13,89,87,76,73,72,74,70,76,70,65,67,60,59,64,61,64,63,57,66,56,64,66
14,111,105,92,96,89,97,99,100,88,83,79,78,71,77,73,77,75,69,74,70,78,72
15,144,140,125,119,117,125,128,130,111,106,104,96,89,97,92,97,94,82,96,91,92,92
16,189,187,163,158,150,154,163,159,140,142,128,120,107,116,110,116,113,107,118,112,121,112
17,222,228,207,198,184,188,193,189,170,166,153,138,131,142,135,136,132,126,148,133,143,138
18,256,258,235,226,211,211,210,212,199,189,171,162,149,161,147,149,145,145,162,154,157,151
19,278,275,256,255,234,222,222,218,211,201,183,180,161,174,159,162,158,158,185,168,171,165
20,289,281,256,266,251,239,234,236,223,213,196,186,173,187,172,175,170,171,192,175,185,178
21,300,287,256,266,262,251,239,236,217,213,196,186,179,187,178,181,177,171,199,182,185,178
